timestamp,azimuth,elevation,range,doppler,voltage,temp
22:36:27,236.89,-26.04,6442.83,-1126,7.7700000000000005,27
22:36:28,236.91,-26.00,6435.77,1777,7.58,27
22:36:29,236.93,-25.97,6429.60,-49,7.7,23
22:36:30,236.95,-25.93,6423.35,-447,7.15,26
22:36:31,236.97,-25.89,6417.01,-1972,7.42,23
22:36:32,236.99,-25.86,6410.73,179,8.25,37
22:36:33,237.01,-25.82,6404.50,1671,8.34,33
22:36:34,237.03,-25.79,6398.54,-1994,7.13,24
22:36:35,237.05,-25.75,6391.88,-822,7.07,20
22:36:36,237.07,-25.72,6385.89,1608,7.13,23
22:36:37,237.10,-25.68,6379.70,-1404,7.0200000000000005,34
22:36:38,237.12,-25.65,6373.59,-998,7.11,28
22:36:40,237.15,-25.59,6362.41,890,7.46,26
22:36:41,237.17,-25.55,6356.13,-247,8.08,32
22:36:42,237.19,-25.51,6349.89,-398,8.27,29
22:36:43,237.22,-25.48,6343.56,-595,7.04,28
22:36:44,237.24,-25.44,6337.36,1083,7.26,33
