timestamp,azimuth,elevation,range,doppler,voltage,temp
23:06:07,42.66,-22.97,5918.21,-1796,8.31,24
23:06:08,42.68,-23.00,5922.71,233,8.08,26
23:06:08,42.70,-23.02,5926.97,-471,7.67,30
23:06:09,42.72,-23.04,5931.27,97,7.83,35
23:06:10,42.74,-23.07,5935.57,-1626,7.29,28
23:06:11,42.75,-23.09,5939.84,1123,8.1,23
23:06:11,42.77,-23.12,5944.21,-629,7.37,21
23:06:19,42.96,-23.37,5989.12,1858,7.74,26
23:06:20,42.98,-23.40,5993.81,-1945,7.17,34
23:06:20,43.00,-23.42,5998.10,1790,7.05,35
23:06:21,43.02,-23.45,6002.45,-1261,7.99,39
