timestamp,azimuth,elevation,range,doppler,voltage,temp
23:36:40,299.26,-23.64,6036.06,-1639,7.72,20
23:36:41,299.23,-23.62,6033.43,107,7.59,39
23:36:41,299.20,-23.61,6031.00,-1448,7.3,27
23:36:42,299.17,-23.60,6028.58,-1478,7.59,39
23:36:42,299.14,-23.58,6026.13,-1471,7.22,24
23:36:43,299.11,-23.57,6023.74,666,7.26,34
23:36:43,299.08,-23.56,6021.34,-1022,7.22,26
23:36:44,299.05,-23.54,6018.87,-1778,7.76,22
23:36:44,299.02,-23.53,6016.41,-486,7.3500000000000005,37
23:36:45,298.99,-23.51,6013.94,348,7.17,32
23:36:46,298.96,-23.50,6011.53,1377,8.02,29
23:36:46,298.93,-23.49,6009.13,-825,7.17,28
