timestamp,azimuth,elevation,doppler_shift,battery_voltage,internal_temp,status_msg
2026-02-07T10:13:59.407996,37.44,-16.49,1883,7.75,20,ALL_OK
2026-02-07T10:14:00.044718,37.47,-16.51,-282,7.640000000000001,37,ALL_OK
2026-02-07T10:14:00.773571,37.50,-16.53,-603,8.15,24,ALL_OK
2026-02-07T10:14:01.327695,37.53,-16.55,-393,7.84,35,ALL_OK
2026-02-07T10:14:01.891342,37.56,-16.57,-1132,8.3,31,ALL_OK
2026-02-07T10:14:02.449445,37.59,-16.59,1895,7.2700000000000005,29,ALL_OK
2026-02-07T10:14:03.014288,37.62,-16.61,-1345,8.39,33,ALL_OK
2026-02-07T10:14:03.568759,37.65,-16.62,1890,7.15,34,ALL_OK
2026-02-07T10:14:04.125020,37.67,-16.64,1082,7.74,20,ALL_OK
2026-02-07T10:14:04.687161,37.70,-16.66,-1854,7.96,35,ALL_OK
2026-02-07T10:14:05.245535,37.73,-16.68,-449,7.65,27,ALL_OK
2026-02-07T10:14:05.835030,37.76,-16.70,756,8.370000000000001,26,ALL_OK
2026-02-07T10:14:06.497274,37.79,-16.72,578,7.25,36,ALL_OK
2026-02-07T10:14:07.212541,37.83,-16.74,568,7.47,22,ALL_OK
2026-02-07T10:14:07.771754,37.86,-16.76,-1317,8.120000000000001,34,ALL_OK
2026-02-07T10:14:08.355488,37.89,-16.78,0,8.19,34,ALL_OK
2026-02-07T10:14:08.909970,37.91,-16.79,18,7.03,33,ALL_OK
2026-02-07T10:14:09.464340,37.94,-16.81,-697,7.24,39,ALL_OK
2026-02-07T10:14:10.036345,37.97,-16.83,-1076,7.42,24,ALL_OK
