timestamp,azimuth,elevation,doppler_shift,battery_voltage,internal_temp,status_msg
2026-01-25T20:39:31.493040,123.88,-34.40,1765,7.99,36,ALL_OK
2026-01-25T20:39:32.695103,123.91,-34.44,-48,7.07,23,ALL_OK
2026-01-25T20:39:33.320985,123.92,-34.46,1252,8.25,27,ALL_OK
2026-01-25T20:39:33.861740,123.93,-34.48,959,7.24,25,ALL_OK
2026-01-25T20:39:34.416551,123.94,-34.50,-1419,7.72,39,ALL_OK
2026-01-25T20:39:34.960686,123.95,-34.52,1870,7.79,36,ALL_OK
2026-01-25T20:39:35.513742,123.96,-34.53,-1921,7.07,25,ALL_OK
2026-01-25T20:39:36.063177,123.97,-34.55,-1046,8.27,29,ALL_OK
2026-01-25T20:39:36.627508,123.98,-34.57,921,7.2700000000000005,23,ALL_OK
2026-01-25T20:39:37.177598,123.99,-34.59,1983,8.07,38,ALL_OK
2026-01-25T20:39:37.716281,124.00,-34.61,1286,8.32,26,ALL_OK
2026-01-25T20:39:38.268825,124.01,-34.62,1002,7.4,33,ALL_OK
2026-01-25T20:39:38.806708,124.02,-34.64,-1933,7.9,20,ALL_OK
2026-01-25T20:39:39.380571,124.03,-34.66,656,7.3,24,ALL_OK
2026-01-25T20:39:39.945548,124.04,-34.68,-318,8.05,28,ALL_OK
2026-01-25T20:39:40.495064,124.05,-34.70,34,8.39,38,ALL_OK
2026-01-25T20:39:41.062453,124.06,-34.71,-853,8.17,30,ALL_OK
