timestamp,azimuth,elevation,doppler_shift,battery_voltage,internal_temp,status_msg
2026-02-07T18:19:41.662818,54.18,-3.00,-381,8.21,30,ALL_OK
2026-02-07T18:19:42.280139,54.15,-3.03,1060,7.36,33,ALL_OK
2026-02-07T18:19:42.859135,54.12,-3.06,-316,7.0200000000000005,25,ALL_OK
2026-02-07T18:19:43.399098,54.09,-3.09,-449,7.58,33,ALL_OK
2026-02-07T18:19:43.970931,54.06,-3.12,814,7.2,20,ALL_OK
2026-02-07T18:19:44.525475,54.04,-3.15,-392,7.16,30,ALL_OK
2026-02-07T18:19:45.082990,54.01,-3.17,-1881,7.04,34,ALL_OK
2026-02-07T18:19:45.680654,53.98,-3.20,-1701,7.34,26,ALL_OK
2026-02-07T18:19:46.362362,53.95,-3.24,-403,8.21,35,ALL_OK
2026-02-07T18:19:46.919422,53.92,-3.27,1733,8.02,28,ALL_OK
2026-02-07T18:19:47.489225,53.89,-3.30,85,7.07,35,ALL_OK
