timestamp,azimuth,elevation,doppler_shift,battery_voltage,internal_temp,status_msg
2026-02-07T19:33:39.616903,317.20,-33.47,-1837,7.13,32,ALL_OK
2026-02-07T19:33:40.214424,317.17,-33.46,1753,8.120000000000001,21,ALL_OK
2026-02-07T19:33:40.753685,317.16,-33.44,1105,8.19,26,ALL_OK
2026-02-07T19:33:41.294020,317.14,-33.43,330,7.96,25,ALL_OK
2026-02-07T19:33:41.832679,317.12,-33.41,34,7.11,31,ALL_OK
2026-02-07T19:33:42.363531,317.10,-33.40,-1710,7.54,20,ALL_OK
2026-02-07T19:33:42.900584,317.08,-33.38,367,7.21,32,ALL_OK
2026-02-07T19:33:43.436350,317.06,-33.36,-1713,7.09,38,ALL_OK
2026-02-07T19:33:43.965088,317.05,-33.35,-925,7.67,29,ALL_OK
2026-02-07T19:33:44.510377,317.03,-33.33,482,8.05,24,ALL_OK
2026-02-07T19:33:45.137781,317.01,-33.32,1169,7.18,34,ALL_OK
2026-02-07T19:33:45.692593,316.99,-33.30,691,7.33,33,ALL_OK
2026-02-07T19:33:46.288286,316.97,-33.28,534,7.67,30,ALL_OK
