timestamp,azimuth,elevation,doppler_shift,battery_voltage,internal_temp,status_msg
2026-02-07T12:37:53.693386,218.59,-72.82,211,7.18,22,ALL_OK
2026-02-07T12:37:54.286511,218.65,-72.81,1258,7.91,30,ALL_OK
2026-02-07T12:37:54.865198,218.71,-72.80,-1628,7.140000000000001,37,ALL_OK
2026-02-07T12:37:55.420732,218.76,-72.79,1212,7.95,36,ALL_OK
2026-02-07T12:37:56.253507,218.84,-72.78,182,8.28,30,ALL_OK
2026-02-07T12:37:56.932987,218.91,-72.77,1246,7.63,24,ALL_OK
2026-02-07T12:37:57.474347,218.96,-72.76,-1536,7.69,22,ALL_OK
2026-02-07T12:37:58.039118,219.02,-72.75,-1562,8.36,32,ALL_OK
2026-02-07T12:37:58.598600,219.07,-72.74,345,8.19,31,ALL_OK
2026-02-07T12:37:59.165602,219.13,-72.73,-1608,8.13,21,ALL_OK
2026-02-07T12:37:59.720289,219.18,-72.72,-1556,7.19,30,ALL_OK
2026-02-07T12:38:00.297278,219.24,-72.71,-1355,8.24,22,ALL_OK
2026-02-07T12:38:00.846383,219.29,-72.70,294,7.71,32,ALL_OK
2026-02-07T12:38:01.372997,219.34,-72.70,80,8.3,20,ALL_OK
2026-02-07T12:38:01.930157,219.40,-72.69,-1786,7.15,20,ALL_OK
2026-02-07T12:38:02.492374,219.45,-72.68,1978,8.27,27,ALL_OK
2026-02-07T12:38:03.039870,219.51,-72.67,1552,7.59,35,ALL_OK
2026-02-07T12:38:03.581366,219.56,-72.66,-1182,7.65,34,ALL_OK
2026-02-07T12:38:04.143210,219.61,-72.65,-1066,7.05,36,ALL_OK
2026-02-07T12:38:04.700200,219.67,-72.64,759,7.76,30,ALL_OK
2026-02-07T12:38:05.275698,219.72,-72.63,-1078,7.32,35,ALL_OK
2026-02-07T12:38:05.889547,219.78,-72.63,-668,7.59,22,ALL_OK
2026-02-07T12:38:06.425844,219.84,-72.62,-1022,7.97,30,ALL_OK
2026-02-07T12:38:06.968527,219.89,-72.61,1073,7.84,20,ALL_OK
2026-02-07T12:38:07.532495,219.94,-72.60,1748,8.1,30,ALL_OK
2026-02-07T12:38:08.084026,220.00,-72.59,-1036,8.11,36,ALL_OK
2026-02-07T12:38:08.638705,220.05,-72.58,-429,7.07,21,ALL_OK
2026-02-07T12:38:09.201162,220.10,-72.57,150,7.12,35,ALL_OK
2026-02-07T12:38:09.764388,220.16,-72.56,793,7.3,25,ALL_OK
2026-02-07T12:38:10.304069,220.21,-72.55,-1048,7.83,22,ALL_OK
2026-02-07T12:38:10.840247,220.26,-72.55,-310,8.0,24,ALL_OK
2026-02-07T12:38:11.366787,220.31,-72.54,-1277,8.040000000000001,32,ALL_OK
2026-02-07T12:38:11.912137,220.36,-72.53,-1338,8.28,26,ALL_OK
2026-02-07T12:38:12.446460,220.42,-72.52,410,7.19,28,ALL_OK
2026-02-07T12:38:12.982107,220.47,-72.51,-100,7.25,35,ALL_OK
2026-02-07T12:38:13.514236,220.52,-72.50,672,7.84,29,ALL_OK
2026-02-07T12:38:14.043705,220.57,-72.49,1486,7.48,21,ALL_OK
