timestamp,azimuth,elevation,doppler_shift,battery_voltage,internal_temp,status_msg
2026-01-26T15:34:50.692652,223.13,-66.79,638,7.3,20,ALL_OK
2026-01-26T15:34:51.238337,223.16,-66.78,966,8.16,25,ALL_OK
2026-01-26T15:34:51.762635,223.19,-66.77,1256,7.83,32,ALL_OK
2026-01-26T15:34:52.291802,223.21,-66.75,1834,8.370000000000001,28,ALL_OK
2026-01-26T15:34:52.815503,223.24,-66.74,96,8.21,27,ALL_OK
2026-01-26T15:34:53.340777,223.27,-66.73,1972,7.28,24,ALL_OK
2026-01-26T15:34:53.872587,223.30,-66.71,-1776,7.53,37,ALL_OK
2026-01-26T15:34:54.390160,223.33,-66.70,-256,7.22,39,ALL_OK
2026-01-26T15:34:54.917787,223.36,-66.69,1580,7.65,24,ALL_OK
2026-01-26T15:34:55.456959,223.38,-66.67,1689,7.51,31,ALL_OK
2026-01-26T15:34:55.989356,223.41,-66.66,1741,8.17,27,ALL_OK
2026-01-26T15:34:56.509272,223.44,-66.65,-653,7.57,25,ALL_OK
